pathway	feature_ids
Aminoacyl-tRNA biosynthesis	TRN1
Aminoacyl-tRNA biosynthesis	tV(UAC)B
Aminoacyl-tRNA biosynthesis	tV(AAC)K2
Aminoacyl-tRNA biosynthesis	tV(AAC)K1
Aminoacyl-tRNA biosynthesis	MSE1
Aminoacyl-tRNA biosynthesis	tN(GUU)G
Aminoacyl-tRNA biosynthesis	tV(UAC)Q
Aminoacyl-tRNA biosynthesis	tL(CAA)G3
Aminoacyl-tRNA biosynthesis	tN(GUU)K
Aminoacyl-tRNA biosynthesis	tN(GUU)L
Aminoacyl-tRNA biosynthesis	tR(ACG)O
Aminoacyl-tRNA biosynthesis	TQ(UUG)D3
Aminoacyl-tRNA biosynthesis	TQ(UUG)D2
Aminoacyl-tRNA biosynthesis	TS(GCU)F
Aminoacyl-tRNA biosynthesis	TQ(UUG)D1
Aminoacyl-tRNA biosynthesis	EMT1
Aminoacyl-tRNA biosynthesis	EMT2
Aminoacyl-tRNA biosynthesis	TQ(UUG)B
Aminoacyl-tRNA biosynthesis	EMT3
Aminoacyl-tRNA biosynthesis	TQ(UUG)C
Aminoacyl-tRNA biosynthesis	EMT4
Aminoacyl-tRNA biosynthesis	EMT5
Aminoacyl-tRNA biosynthesis	TF(GAA)N
Aminoacyl-tRNA biosynthesis	TF(GAA)M
Aminoacyl-tRNA biosynthesis	TQ(UUG)L
Aminoacyl-tRNA biosynthesis	tR(UCU)E
Aminoacyl-tRNA biosynthesis	tL(UAA)D
Aminoacyl-tRNA biosynthesis	tI(AAU)P1
Aminoacyl-tRNA biosynthesis	TF(GAA)G
Aminoacyl-tRNA biosynthesis	TF(GAA)F
Aminoacyl-tRNA biosynthesis	tW(CCA)G2
Aminoacyl-tRNA biosynthesis	TF(GAA)D
Aminoacyl-tRNA biosynthesis	TF(GAA)B
Aminoacyl-tRNA biosynthesis	tT(UGU)Q1
Aminoacyl-tRNA biosynthesis	TRR4
Aminoacyl-tRNA biosynthesis	MSY1
Aminoacyl-tRNA biosynthesis	tK(CUU)M
Aminoacyl-tRNA biosynthesis	tL(UAA)B1
Aminoacyl-tRNA biosynthesis	tL(UAA)B2
Aminoacyl-tRNA biosynthesis	tK(CUU)K
Aminoacyl-tRNA biosynthesis	tK(CUU)J
Aminoacyl-tRNA biosynthesis	TD(GUC)B
Aminoacyl-tRNA biosynthesis	tV(AAC)J
Aminoacyl-tRNA biosynthesis	tV(AAC)M2
Aminoacyl-tRNA biosynthesis	tV(AAC)M3
Aminoacyl-tRNA biosynthesis	SUP61
Aminoacyl-tRNA biosynthesis	tV(AAC)M1
Aminoacyl-tRNA biosynthesis	SUF20
Aminoacyl-tRNA biosynthesis	tK(UUU)G2
Aminoacyl-tRNA biosynthesis	tQ(UUG)Q
Aminoacyl-tRNA biosynthesis	TI(GAU)Q
Aminoacyl-tRNA biosynthesis	SUF23
Aminoacyl-tRNA biosynthesis	tG(GCC)E
Aminoacyl-tRNA biosynthesis	TR(UCU)J2
Aminoacyl-tRNA biosynthesis	tQ(UUG)H
Aminoacyl-tRNA biosynthesis	TR(UCU)B
Aminoacyl-tRNA biosynthesis	TX(XXX)D
Aminoacyl-tRNA biosynthesis	tT(UGU)P
Aminoacyl-tRNA biosynthesis	TR(UCU)D
Aminoacyl-tRNA biosynthesis	tS(AGA)D2
Aminoacyl-tRNA biosynthesis	GLN4
Aminoacyl-tRNA biosynthesis	tS(AGA)D3
Aminoacyl-tRNA biosynthesis	tS(AGA)D1
Aminoacyl-tRNA biosynthesis	TR(UCU)K
Aminoacyl-tRNA biosynthesis	tL(GAG)G
Aminoacyl-tRNA biosynthesis	tY(GUA)Q
Aminoacyl-tRNA biosynthesis	DIA4
Aminoacyl-tRNA biosynthesis	tK(UUU)Q
Aminoacyl-tRNA biosynthesis	tG(GCC)M
Aminoacyl-tRNA biosynthesis	tK(UUU)P
Aminoacyl-tRNA biosynthesis	tK(UUU)O
Aminoacyl-tRNA biosynthesis	tP(UGG)Q
Aminoacyl-tRNA biosynthesis	TRT2
Aminoacyl-tRNA biosynthesis	TE(UUC)E3
Aminoacyl-tRNA biosynthesis	tI(AAU)N2
Aminoacyl-tRNA biosynthesis	TE(UUC)E2
Aminoacyl-tRNA biosynthesis	tI(AAU)N1
Aminoacyl-tRNA biosynthesis	TE(UUC)E1
Aminoacyl-tRNA biosynthesis	TI(UAU)L
Aminoacyl-tRNA biosynthesis	HSX1
Aminoacyl-tRNA biosynthesis	TD(GUC)G2
